"","","","","","","","","","","","Normalized abundance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","RegionalPrim","","","","","","","","","","","","","","","","","","","","","","","","","","","","RegionalRec","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Accession","Peptide count","Peptides used for quantitation","Confidence score","Anova (p)","Max fold change","Fractions","Occurrences","Highest mean condition","Lowest mean condition","Description","120907_Emila_6423_01","120907_Emila_6423excl_02","120907_Emila_15722_01","120907_Emila_15722excl_02","120907_Emila_12549excl_02","120911_Emila_12549_01","120907_Emila_12551_01","120907_Emila_12551excl_02","120907_Emila_12178excl_02","120912_Emila_12178_01","120907_Emila_10575excl_02","120911_Emila_10575_01","120907_Emila_11650excl_02","120911_Emila_11650_01","120907_Emila_5714excl_02","120913_Emila_5714_01","120907_Emila_12623_01","120913_Emila_12623_01","120907_Emila_6643excl_02","120913_Emila_6643_01","120907_Emila_16954_01","120913_Emila_16954_01","120907_Emila_11521excl_02","120911_Emila_11521_01","120907_Emila_11191_01","120907_Emila_11191excl_02","120907_Emila_11632excl_02","120911_Emila_11632_01","120907_Emila_6424_01","120907_Emila_6424excl_02","120907_Emila_15952_01","120907_Emila_15952excl_02","120907_Emila_12550excl_02","120912_Emila_12550_01","120907_Emila_12552_01","120907_Emila_12552excl_02","120907_Emila_12244excl_02","120912_Emila_12244_01","120907_Emila_10574excl_02","120911_Emila_10574_01","120907_Emila_11649excl_02","120911_Emila_11649_01","120907_Emila_5715_01","120913_Emila_5715_01","120907_Emila_12624_01","120913_Emila_12624_01","120907_Emila_6644excl_02","120912_Emila_6644_01","120907_Emila_16995_01","120907_Emila_16995excl_02","120907_Emila_11522excl_02","120911_Emila_11522_01","120907_Emila_11192_01","120907_Emila_11192excl_02","120907_Emila_11631_01","120907_Emila_11631excl_02",
"Q9UII2-1","2","2","6.53","8.21924750482594E-10","3.56934711706118","1","1","RegionalPrim","RegionalRec","Isoform 1 of ATPase inhibitor, mitochondrial OS=Homo sapiens GN=ATPIF1","74048.9949531839","67705.4461934406","428520.138189216","363930.429452576","164600.148160375","69687.5079972993","22528.3338386713","116093.484596684","197362.448746006","162348.148842908","216576.107037573","341665.785041136","73607.4529237111","79839.5829690194","52996.1058482231","42407.1497060629","67887.1028690754","72869.3443099287","116641.286410083","99805.2092463363","134427.352476316","117542.94896876","105158.37513738","86101.5309750362","69734.9248880862","63640.1111757905","86177.5825379307","93754.5589935557","28709.0619645635","32452.4404137692","46489.4518189798","40036.2192716144","19654.2414455","16752.3877168008","50753.7673751347","47124.9492364054","42326.88944859","28457.240830387","44797.9033941195","40696.2177506249","16693.2894085636","16024.420808696","13863.3373485398","11762.7159970552","53426.8264335004","56703.3925012191","50502.4869882907","37212.760399431","13012.9745543515","23476.8249286248","46199.163809825","32518.1089218678","76022.7809483953","67859.1052896304","25246.6187473704","26354.3451227468",
"P09326","8","8","267.96","1.20508612089232E-07","3.21574063257137","1","1","RegionalRec","RegionalPrim","CD48 antigen OS=Homo sapiens GN=CD48","124854.263880331","141202.451763441","80140.3111121877","59804.8567438433","104573.43852564","82483.8717664826","29936.0778446642","109630.407813755","136654.682541023","139429.775111982","82787.6925557847","118828.96446235","93362.1712531154","111439.889757291","103441.150871085","116036.565594714","73303.5833638593","76314.7508567334","43919.9253751777","38070.2598832264","248333.118931589","223213.950177135","210238.229082743","181587.041739763","111127.22936908","126184.092764859","95539.9817435447","108202.354893662","545122.745502043","618014.72619967","1573808.26231937","1135498.7860378","207180.433893628","200601.771317213","167088.832011362","183103.220386975","135817.419250814","134218.878343086","113972.279878804","94484.7295041056","227960.730709002","259480.580752614","157170.342144829","139908.861803748","287556.416090372","364417.388045527","268445.935568906","240230.299920489","291306.733761381","343850.794615082","797069.276966833","590521.96329078","424100.745398098","418550.692159581","132391.637432742","144084.90039806",
"P07437","9","9","66.6","1.27485872969402E-07","2.74859584762271","1","1","RegionalPrim","RegionalRec","Tubulin beta chain OS=Homo sapiens GN=TUBB","233622.701759526","382771.626334643","310030.64755924","381774.505142254","419173.025785409","558013.03968851","1246922.72759551","1979863.43346","604638.597747769","374105.282009727","648537.387524169","1059889.91919041","317029.754267919","395628.962908282","605324.355289347","676120.266323505","537041.260218684","420918.647379608","149779.503949111","117395.829763055","540679.795772552","568672.497630174","321571.130388752","313979.14572175","557776.56357638","1234025.474535","214014.417945564","297754.365960999","268308.143837121","364754.675000193","328840.605615726","268710.800720854","102328.039716134","114563.831765249","336878.247978388","689880.365395685","98436.6770452294","72793.4289676427","203101.405101539","191240.497211795","138389.729682541","124528.733259342","101639.995183233","66186.4622943799","62347.1273357244","63502.4932613618","106679.242878252","99507.4624231935","86175.6286660338","120486.611911652","536044.211591856","463551.064024638","147949.742585322","207866.845517974","98311.9164445933","164252.884234896",
"P13569-1","13","13","85.78","3.9738087820318E-07","2.2328868400728","1","1","RegionalPrim","RegionalRec","Isoform 1 of Cystic fibrosis transmembrane conductance regulator OS=Homo sapiens GN=CFTR","217865.979647561","369891.090845389","577526.272406716","568508.401417328","517027.768464988","678342.036649135","1294124.46095827","2056549.2428069","745291.27361346","534379.726794946","788978.635945852","1366914.72928027","288653.423770717","363004.93605747","773491.092489822","754871.269005983","618557.067974915","497934.381002072","864752.340516277","866374.65578497","576559.468868455","559725.018972701","306241.232540407","324456.442384889","590802.258343831","1298756.27876831","525808.311614282","674884.625704339","287474.991700062","348347.318410855","432240.931014992","349355.881308302","385388.480927821","408793.94920988","388510.3559989","739450.458089373","204288.709033527","204168.657271483","293925.821858472","305406.996259902","105339.663889408","108751.605413233","196744.867170673","206389.432466939","84482.6245171527","84490.7774851294","172633.580429383","172098.858452673","198038.20736833","100668.696801287","555994.771948325","485780.453579036","128535.668482785","172720.792447126","145809.165423285","1512164.58400569",
"Q96H12","4","4","58.02","2.46729422481717E-06","1.97517802492637","1","1","RegionalPrim","RegionalRec","Myb/SANT-like DNA-binding domain-containing protein 3 OS=Homo sapiens GN=MSANTD3","131816.757531392","119939.026827274","174177.986240783","164316.970675334","253233.444407493","289750.192150348","101035.752133586","90747.725182014","213186.151658128","183570.329183649","93879.3306629036","158937.107672747","64970.8729771996","80399.8702872289","125464.856345648","120123.41402215","191187.220759587","181853.57249582","63929.6202937538","55019.0119548188","149408.748777024","163089.699949518","218714.438993834","244572.361122457","210776.403490126","196077.949758767","47369.2892110549","58584.6463055495","102258.959824265","116529.918735953","68319.4214553879","66641.1696234436","64649.5336384383","57734.1542894903","67807.8851737761","61997.7665059585","56636.9023518255","44925.5659236153","120590.394742528","117424.166448956","58747.1149915343","69913.4712478139","44025.650023642","47199.6938822448","89590.5007173863","91103.8833609882","53877.8122963737","46968.906047517","30397.571830959","33194.3107703911","125323.312006405","99598.5215330822","120835.168631835","119522.079642786","63752.7746900309","59551.898804334",
"P08727","9","9","115.5","2.57486626076275E-06","2.01278990885369","1","1","RegionalRec","RegionalPrim","Keratin, type I cytoskeletal 19 OS=Homo sapiens GN=KRT19","210438.051420024","220969.377302751","174952.697275468","162294.233972315","199803.625602287","203001.411019082","123901.032186898","166689.501712025","196015.430607896","214031.004868872","212306.641646293","315973.556491365","155394.535688791","194801.614163394","129972.160256324","137421.520309244","239210.554350253","278522.25978149","142561.42785028","158049.11729372","177436.13024173","185841.687999252","150928.611897974","158787.561258133","131350.501799792","114916.978385772","193680.265222136","237387.371958921","286760.388308696","308769.993351292","1165589.56167381","836098.258254419","411582.203382903","376864.809046263","164475.918629426","174692.112392589","367892.215276605","314064.636504287","180609.305283964","180831.232571607","407638.216404591","508750.491759254","268557.943748575","232427.857881359","412882.135923364","476480.180916428","337902.875786949","285384.699151111","716646.300847824","695142.099441607","344236.851385638","271186.310612968","170130.548933018","145019.201533597","223664.627795624","175333.386636378",
"P01834","1","1","9.02","2.62451590704593E-06","3.14755342544297","1","1","RegionalPrim","RegionalRec","Ig kappa chain C region OS=Homo sapiens GN=IGKC","9507.95965575903","21328.2765166762","17435.7912142038","20180.9447202178","26622.0186388384","40863.5980044197","178666.062746974","152120.553751225","42366.7764387441","27234.6446771517","52204.1218119263","85511.9717416168","18908.5739694695","22847.739790787","50773.9502188728","56105.4705358983","77419.1220341568","49329.636921001","12997.3795903825","7726.55048064676","49196.8007667113","51921.5902400585","12387.5436763655","20019.6495895389","79661.4586886909","110750.627535965","9885.13004201338","15434.0945611061","20947.3572092573","21634.2894260504","22558.6216603606","16433.6176893587","4317.21534311765","6278.58237291987","32969.4131747275","76491.3111841825","3176.4169939783","2330.17266351888","8946.18651217989","10027.7427795163","2626.20257654314","1483.17302409801","16211.9194366512","7250.4469618237","2002.40777199234","1890.92874495666","8858.25744691961","10481.6187038509","2901.95414319253","7454.76655662062","51791.7982295973","50144.508980284","5109.41604993387","8549.86142075333","5074.74231329419","11242.3425606068",
