"","","","","","","","","","","","Normalized abundance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","Primary","","","","","","","","","","","","","","","","","","","","","","","","","","Metastases","","","","","","","","","","","","","","","","","","","","","",
"Accession","Peptide count","Peptides used for quantitation","Confidence score","Anova (p)","Max fold change","Fractions","Occurrences","Highest mean condition","Lowest mean condition","Description","120907_Emila_7288_01","120907_Emila_7288excl_02","120907_Emila_6404_01","120907_Emila_6404excl_02","120907_Emila_7706_01","120907_Emila_7706excl_02","120907_Emila_8209_01","120907_Emila_8209excl_02","120907_Emila_10719_01","120907_Emila_10719excl_02","120907_Emila_9724excl_02","120912_Emila_9724_01","120907_Emila_12676excl_02","120913_Emila_12676_01","120907_Emila_9137_01","120907_Emila_9137_01_120922035105","120907_Emila_13869excl_02","120911_Emila_13869_01","120907_Emila_8009_01","120907_Emila_8009excl_02","120907_Emila_11952_01","120907_Emila_11952excl_02","120907_Emila_5815_01","120907_Emila_5815excl_02","120907_Emila_9914excl_02","120912_Emila_9914_01","120907_Emila_8674_01","120907_Emila_8674excl_02","120907_Emila_8289_01","120907_Emila_8289excl_02","120907_Emila_11117_01","120907_Emila_11117excl_02","120907_Emila_16521_01","120907_Emila_16521excl_02","120907_Emila_10350_01","120907_Emila_10350excl_02","120907_Emila_15494_01","120907_Emila_15494excl_02","120907_Emila_15495_01","120907_Emila_15495excl_02","120907_Emila_15073excl_02","120912_Emila_15073_01","120907_Emila_13203_01","120913_Emila_13203_01","120907_Emila_11934excl_02","120911_Emila_11934_01","120907_Emila_21512_01","120913_Emila_21512_01",
"P16284-6","12","12","97.61","5.98412639095658E-05","2.10509751029213","1","1","Metastases","Primary","Isoform Delta15 of Platelet endothelial cell adhesion molecule OS=Homo sapiens GN=PECAM1","97764.4648181286","149090.773442917","101794.39470602","88969.7576328418","39119.2136835752","45161.9682549041","49534.8058819273","104642.347422892","127613.800554223","150702.890079737","88917.7883758459","82995.4483879681","151838.729182195","105712.210557752","93205.6072434187","92007.5951247639","116539.118000512","131282.636894896","97766.3227229903","91028.4475447708","74697.5192664547","95402.5743553176","106815.250656695","124679.450096366","177646.847253379","204102.790539599","113587.428907047","143926.00484272","282634.178616261","291680.923307433","69182.8971291938","79892.2545445526","63008.7512158312","222881.114537026","169031.708935479","103142.256715226","161898.353614507","177847.859862125","309237.237311116","277389.523685842","175302.331383762","142577.77189651","592635.936168379","638662.79493877","213389.75596416","225554.224643296","306622.215603921","207841.01015306",
"P28335","8","8","52.05","0.000102301680602102","2.88015088813624","1","1","Primary","Metastases","5-hydroxytryptamine receptor 2C OS=Homo sapiens GN=HTR2C","592088.484376322","1047830.29267732","13243531.5891335","10221914.3143186","2265736.3272339","3046033.84381243","3489565.61753402","3742544.47905113","3053530.83201416","3875956.21458388","1795320.90657002","1708388.54326218","1408726.44737735","1865142.77821497","1652624.52764445","1095358.09845517","770184.807163554","1382847.70046677","2784035.07237654","3577348.06372903","12235831.3428488","11303303.5459839","3018876.8825892","2650093.8357928","1842406.74755246","1867264.4418404","584310.541652027","615466.903972729","1234000.45628779","1040593.22640492","733317.593976813","610811.851874047","445478.072425232","383943.122071195","811408.635741302","984755.713251271","2404159.72990135","1491809.91482589","2725004.70298417","3425407.1654829","610279.687056333","645661.719785293","1802895.30736922","1551038.22056422","2666230.50255326","2685187.11625074","255779.434546606","359936.007745728",
"Q9H5J0","1","1","8.65","0.000109002389773183","3.1074867839217","1","1","Metastases","Primary","Zinc finger and BTB domain-containing protein 3 OS=Homo sapiens GN=ZBTB3","32982.9367351827","23776.8138440351","39947.0432936365","37795.3654204699","8008.48264966472","19213.2311749516","15862.2637624042","8319.83205871721","35103.8430064199","14740.2096827357","58155.4839153358","62649.8764397654","24173.3175176165","27001.5363080859","36561.5191927708","32347.0099349778","12679.9459248829","20006.2271949789","72002.2227931058","68904.8453010696","26140.9243274992","28510.9822762665","25739.7281727733","32016.7696999473","19493.9569655398","27168.1566593604","29244.1607850844","31180.4714303765","155240.790706118","99488.9440815309","52410.5710502629","59098.6750998869","34694.3283332681","22584.7634769951","100948.059628231","43614.3020120296","46154.7135297334","37562.5137923084","58171.4852090483","51076.8458689388","238131.015642209","269524.155906209","145702.167181545","153507.260695658","227148.812166443","242168.11500551","12813.1601442109","17524.3714382344",
"P20774","9","9","197.35","0.000113621828666588","5.20205052980877","1","1","Primary","Metastases","Mimecan OS=Homo sapiens GN=OGN","181618.203138624","302531.157829907","12456805.4187678","8891937.54313824","2073086.99340824","2933836.39866385","3371229.10061926","3639652.86022798","2756571.8914897","3548973.89927583","1205990.86125026","1223834.22832813","1005306.72002658","1321557.60860499","847442.279751437","852182.583812199","463602.726531695","778392.295357648","2576325.37027476","3300886.26211319","11230681.7965336","11001466.2613557","91754.7106421506","110852.808467535","1757209.64370238","1591369.45678017","172839.756668986","154387.863834785","310575.277546425","319075.312090759","307392.737101158","369994.397560755","145090.972980462","96324.4926608602","392987.56712661","279356.929958635","453994.792506945","532450.673639579","199659.126566929","276956.1810138","454989.59245043","450818.504633882","1413431.71899223","1472787.47919066","2393549.7357834","2385004.84818129","187293.248403092","164786.075642515",
"P16284-3","12","12","99.17","0.000121660795294187","2.0174276903084","1","1","Metastases","Primary","Isoform Delta13 of Platelet endothelial cell adhesion molecule OS=Homo sapiens GN=PECAM1","101299.362647502","149057.646284887","101924.541058213","89437.0102963756","38316.7565561378","45924.6620996048","50024.3734614353","104759.24545832","141812.526010914","150434.283136987","99326.3503508106","95387.5094452987","155557.778359357","107146.790547006","103650.110827597","102907.23800796","125310.390266808","145610.027319108","107584.283012219","83617.7027605556","72119.4430106346","91381.6137148618","170894.32821419","136743.359520502","191401.779275767","228751.159263655","124607.298906368","152134.859273718","284805.085082233","293198.691410765","89349.5609750461","75068.3712477947","62554.4570563633","225444.436875177","174554.043294111","101811.371029092","162391.633088636","176936.640423626","305978.505166058","275391.615125485","184093.385783818","158135.333940835","601759.873306909","648572.652563992","238039.529837643","245039.349695526","310570.042595326","214304.462849959",
"Q8TAG5-2","4","4","101.91","0.000132379023038087","2.6001717611444","1","1","Metastases","Primary","Isoform 2 of V-set and transmembrane domain-containing protein 2A OS=Homo sapiens GN=VSTM2A","51737.0660533448","34298.1764567493","59594.5182231531","40611.1976777476","12458.6752143982","37277.8691752852","25742.4229482982","18168.3683996301","29784.9175018576","29337.7876819718","65250.3661562858","69396.9281808002","45538.5366262411","50632.5248612042","84933.6178919583","67394.1537535701","42142.2702680388","59189.8121146526","34735.7712898626","55791.759503098","50491.5413678164","31166.2745187503","34070.1316614755","45527.2221725796","69717.5272039922","59905.593203116","43985.8345921038","47257.9364116976","159805.863257611","106911.601321328","39995.6735899361","40969.0745266349","29648.4052309565","29410.7589357768","114257.881098707","55324.5925293335","60853.4408856439","43638.2492433428","74432.1285192697","62230.4555249062","262490.953923312","289135.89457087","196980.953049506","186152.361053603","278779.558457143","291954.453620478","75058.8699697867","161669.240970353",
"Q86V35","4","4","23.47","0.000146482245581558","3.43848487787159","1","1","Metastases","Primary","Calcium-binding protein 7 OS=Homo sapiens GN=CABP7","19206.7220769915","35320.1945065091","3542.06748791247","3861.36432226423","3032.81522534859","4018.38483778188","2431.5349735443","24593.7024962375","2838.7003124251","3813.6410936624","18224.209268811","22424.4555273814","18314.6775171562","8883.03638288764","5833.79204892414","11747.4474443984","9847.53835819173","10448.4281647593","6971.70232418945","9203.13510991801","2141.68987551692","5101.99979691527","2159.8870928548","2341.20366523859","17891.5819234425","25313.2180376314","16681.2510335475","21166.1255042765","20551.768544521","20303.5095241001","4408.43738183466","6038.2306921224","4623.97630880557","123527.473780097","9657.40846263432","10875.6301599134","17029.6435065367","18138.3126075969","36551.736237621","46933.3735298641","19881.4877531346","22858.4082072181","113411.43721381","127909.841541703","16480.9644787495","17817.5828023221","103167.650711698","35208.1679026583",
